P homeless,P exit,P undetected,Simulation,# Consecutive,# Episodic,# Chronic,# Ever Homeless,# Undetected Chronic,Frac Undetected Chronic,Wall Time (s),Episodic as % Chronic
0.0075,0.005,0.0075,1,11766,2241,14007,19995,278,0.12405176260597947,4.054282441000005,0.15999143285500106
0.0075,0.005,0.01,1,11717,2129,13846,19995,175,0.08219821512447158,4.312583197999999,0.1537628195868843
0.0075,0.0075,0.0025,1,7794,6960,14754,19994,1944,0.2793103448275862,3.959183841000005,0.47173647824318826
0.0075,0.0075,0.005,1,8671,5969,14640,19995,1007,0.16870497570782375,4.373168831000001,0.4077185792349727
0.0075,0.005,0.0125,1,11870,2041,13911,19995,152,0.0744732974032337,4.803579732999999,0.14671842426856443
0.0075,0.0075,0.0075,1,8857,5470,14327,19993,630,0.11517367458866545,4.5962127260000045,0.38179660780344804
0.0075,0.0075,0.01,1,8920,5392,14312,19994,459,0.08512611275964392,5.008477587000002,0.3767467859139184
0.0075,0.01,0.0025,1,6038,9220,15258,19995,2080,0.22559652928416485,4.554357846000002,0.6042731681740726
0.0075,0.01,0.005,1,6785,8456,15241,19995,1241,0.146759697256386,4.701864109999995,0.5548192375828358
0.0075,0.0075,0.0125,1,8779,5163,13942,19992,380,0.07360061979469301,5.241615211000003,0.37031989671496196
0.0075,0.01,0.0075,1,6739,8128,14867,19995,812,0.09990157480314961,4.9903019650000005,0.5467141992332011
0.01,0.0025,0.0025,1,15223,777,16000,20000,300,0.3861003861003861,2.7255203329999986,0.0485625
0.0075,0.0125,0.0025,1,4961,10469,15430,19998,1993,0.190371573216162,5.010222110000001,0.6784834737524303
0.0075,0.01,0.01,1,6626,8250,14876,19993,667,0.08084848484848485,5.3919071740000035,0.5545845657434795
0.0075,0.01,0.0125,1,6734,7999,14733,19992,598,0.07475934491811477,5.5784492379999975,0.5429308355392656
0.0075,0.0125,0.005,1,5404,10399,15803,19995,1361,0.13087796903548418,5.193018823999999,0.6580396127317598
0.01,0.0025,0.005,1,15729,440,16169,20000,86,0.19545454545454546,3.1131644260000044,0.027212567258333847
0.0075,0.0125,0.0075,1,5245,10147,15392,19993,941,0.09273676948851878,5.438857985000006,0.6592385654885655
0.01,0.0025,0.0075,1,15897,378,16275,19999,47,0.12433862433862433,3.692823004999994,0.023225806451612905
0.0075,0.0125,0.01,1,5180,9994,15174,19993,801,0.08014808885331198,5.796733247999995,0.6586265981283775
0.01,0.0025,0.01,1,16097,322,16419,20000,21,0.06521739130434782,4.184602596999994,0.01961142578719776
0.01,0.005,0.0025,1,11336,4677,16013,20000,1629,0.34830019243104554,3.8287548630000003,0.2920751889090114
0.0075,0.0125,0.0125,1,4988,10278,15266,19994,774,0.07530647985989491,5.989991156999999,0.6732608410847635
0.01,0.005,0.005,1,12401,3707,16108,20000,730,0.19692473698408416,4.014860385000006,0.23013409485969705
0.01,0.0025,0.0125,1,16192,285,16477,20000,14,0.04912280701754386,4.661647985000002,0.01729683801662924
0.01,0.005,0.0075,1,12602,3148,15750,19998,408,0.12960609911054638,4.3667214509999965,0.19987301587301587
0.01,0.005,0.01,1,12894,2958,15852,20000,218,0.07369844489519946,4.5587352490000015,0.1866010598031794
0.01,0.0075,0.0025,1,8508,8833,17341,19999,2490,0.2818974300917016,4.373518563000005,0.5093708551986621
